Description	Count	Contig
CDS	168	NC_044954.1
connector	0	NC_044954.1
DNA, RNA and nucleotide metabolism	29	NC_044954.1
head and packaging	3	NC_044954.1
integration and excision	0	NC_044954.1
lysis	0	NC_044954.1
moron, auxiliary metabolic gene and host takeover	4	NC_044954.1
other	10	NC_044954.1
tail	6	NC_044954.1
transcription regulation	0	NC_044954.1
unknown function	116	NC_044954.1
VFDB_Virulence_Factors	0	NC_044954.1
CARD_AMR	1	NC_044954.1
ACR_anti_crispr	0	NC_044954.1
Defensefinder	2	NC_044954.1
